indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
37,Conectividad al servicio de Internet,http://enacom.cloudapi.junar.com/api/v2/datastreams/CONEC-AL-SERVI-DE-INTER/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
38,Penetración nacional del Internet fijo,http://enacom.cloudapi.junar.com/api/v2/datastreams/PENET-NACIO-DEL-INTER-FIJO/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
39,Personal ocupado por trimestre en el correo oficial y en operadores privados,http://enacom.cloudapi.junar.com/api/v2/datastreams/PERSO-OCUPA-POR-TRIME-EN/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
40,"Unidades trimestrales vendidas de servicios postales, correo oficial y privados",http://enacom.cloudapi.junar.com/api/v2/datastreams/UNIDA-TRIME-VENDI-DE-43333/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
41,Ventas trimestrales de servicios postales del correo oficial y privados,http://enacom.cloudapi.junar.com/api/v2/datastreams/VENTA-TRIME-DE-SERVI-37520/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
42,Unidades mensuales vendidas de servicios monetarios postales del correo oficial,http://enacom.cloudapi.junar.com/api/v2/datastreams/UNIDA-TRIME-VENDI-DE-15730/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
43,Unidades mensuales vendidas de servicios postales del correo oficial y privados,http://enacom.cloudapi.junar.com/api/v2/datastreams/UNIDA-TRIME-VENDI-DE-SERVI/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
44,"Unidades mensuales vendidas de servicios telegráficos, correo oficial y privados",http://enacom.cloudapi.junar.com/api/v2/datastreams/UNIDA-TRIME-VENDI-DE-57028/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
45,Ventas mensuales de servicios monetarios postales del correo oficial (en $),http://enacom.cloudapi.junar.com/api/v2/datastreams/VENTA-TRIME-DE-SERVI-MONET/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
46,Ventas mensuales de servicios telegráficos del correo oficial y privados,http://enacom.cloudapi.junar.com/api/v2/datastreams/VENTA-TRIME-DE-SERVI-TELEG/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
47,Ventas mensuales de servicios postales del correo oficial y operadores privados,http://enacom.cloudapi.junar.com/api/v2/datastreams/VENTA-TRIME-DE-SERVI-POSTA/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
48,Acceso a Internet fijo por velocidad de bajada y provincia,http://enacom.cloudapi.junar.com/api/v2/datastreams/ACCES-A-INTER-FIJO-23248/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
49,Acceso a Internet fijo por tecnología y provincia,http://enacom.cloudapi.junar.com/api/v2/datastreams/ACCES-A-INTER-FIJO-POR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
50,Total nacional de accesos a Internet fijo por tipo de tecnología,http://enacom.cloudapi.junar.com/api/v2/datastreams/TOTAL-NACIO-DE-ACCES-A/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
51,Listado de Radioaficionados,http://enacom.cloudapi.junar.com/api/v2/datastreams/LISTA-DE-RADIO/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
52,Registro de Proveedores Postales,http://enacom.cloudapi.junar.com/api/v2/datastreams/REGIS-DE-PROVE-POSTA/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
53,Subregistro de Proveedores de Servicios de Mensajería,http://enacom.cloudapi.junar.com/api/v2/datastreams/SUBRE-DE-PROVE-DE-21678/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
54,Homologación de empresas inscriptas,http://enacom.cloudapi.junar.com/api/v2/datastreams/HOMOL-DE-EMPRE-INSCR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
55,Listado de prestadores de telefonía,http://enacom.cloudapi.junar.com/api/v2/datastreams/LISTA-DE-PREST-DE-TELEF/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
56,Listado de radioclubes,http://enacom.cloudapi.junar.com/api/v2/datastreams/LISTA-DE-RADIO-87358/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
57,Homologación de equipos inscriptos,http://enacom.cloudapi.junar.com/api/v2/datastreams/HOMOL-DE-EQUIP-INSCR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
58,Listado de estaciones repetidoras,http://enacom.cloudapi.junar.com/api/v2/datastreams/LISTA-DE-ESTAC-REPET/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
59,Numeración geográfica,http://enacom.cloudapi.junar.com/api/v2/datastreams/NUMER-GEOGR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
60,Numeración no geográfica,http://enacom.cloudapi.junar.com/api/v2/datastreams/NUMER-NO-GEOGR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
