indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
96,Información Socioeconómica NBI (Deciles),9c116c36-f483-443b-9f4d-0b26c4a461e8,OK,0,88
97,Información Socioeconómica Urbanizaciones Cerradas Wikimapia,a1b39f04-e852-4e2d-b51e-ef3a6c3be0a5,OK,0,4
98,Informes Estadísticos del Sector Eléctrico (Quinquenales y Decenales),2d788688-1a20-4595-841d-4786cf3595e8,ERROR,2,5
99,Informe Trimestral de Coyuntura Energética,82496485-c054-4623-be52-fb2bdec9b587,ERROR,1,4
100,Instalaciones Hidrocarburos Ductos Res. 319 93,84681f81-dbbb-49eb-be30-e61778736ad9,OK,0,3
101,Instalaciones Hidrocarburos Instalaciones Res.318,164e7197-3222-4d21-81df-9db30ccd3940,OK,0,4
102,Instalaciones Hidrocarburos Instalaciones Res.319 93 (P. Característicos),e5c525ff-6dbd-4e1e-a52e-14e9d742c4f1,OK,0,4
103,Instalaciones Hidrocarburos Puertos Regasificadores de GNL,bf7914d6-1174-4766-a632-0e7d62068b25,OK,0,4
104,Inventario de Presas y Centrales Hidroeléctricas de la República Argentina,ae7886fe-7919-402c-9296-bd9ec05f29a0,ERROR,4,4
105,Inversiones en mercado de hidrocarburos upstream,83fd2c3f-e0f5-4d56-a3ef-828eac226ba9,ERROR,1,9
106,Irradiancia normal directa,2d730da0-632f-4722-8e6f-4e4f5f40b9ab,OK,0,4
107,Isotermas Atlas 2002,5a005898-adf2-4c23-984b-8a46467b7868,OK,0,4
108,La Generación Eléctrica,4294caf6-6b5c-462a-be3a-3fd70dc04848,ERROR,2,1
109,Límites maritimos internacionales ONU 2016,1145e8af-6853-4b9e-a7d1-d59ed0b95780,OK,0,4
110,Límites maritimos internacionales por distancia,094b0574-78df-4b52-b594-05dad5591e02,OK,0,5
111,Localidades BAHRA,7a6a7cf9-235c-4c9a-85c1-9415d82055e9,OK,0,5
112,Mapas de Comercialización de Gas Licuado de Petróleo (GLP),a8c18002-a031-4054-94a4-3a83bec7529c,OK,0,10
113,Mapas de Exploración y Producción de Hidrocarburos,d778c2e7-cb4b-4200-90a7-d711eb58030b,OK,0,9
114,Mapas de Refinación y Comercialización de Hidrocarburos,37a54abb-a190-431b-b998-6096cd4d6187,OK,0,3
115,Mapas de Transporte de Hidrocarburos,60d3faca-84c8-4b97-85db-1f58a008844f,OK,0,11
116,Mapas históricos de Argentina,7d7a73f8-7478-441b-b18b-42d1c71b4f28,ERROR,1,28
117,Medición de petróleo y gas,df832dab-b67c-4952-9f37-1bd28136967a,ERROR,1,7
118,Mercado Eléctrico Mayorista,e8c0778b-69de-4b19-b525-d9d4af833fb1,ERROR,4,1
119,Notas y multas a empresas de GLP,ce3693c7-4cab-40a1-9705-5b25b3d9145c,ERROR,1,6
120,Obras de GAS,768d848f-22eb-4d6f-b878-77982fb5f65d,OK,0,2
121,Obras de generación de electricidad,84bf14b4-47bf-4efb-ad7c-0d70684a50d3,OK,0,2
122,Obras de transmisión y distribución,a94977b7-d6a2-4501-b422-a20c909cc60f,OK,0,2
123,Padrón 1104,bf070f3d-c983-42d6-901b-1e4b810203df,ERROR,2,3
124,Parques Nacionales Protegidos,cf1a80d1-ecce-4cf8-92b7-36c2a793a59f,OK,0,4
125,Parques Provinciales Protegidos,59fc9e1e-b7b2-425e-839c-e4c0af10b5f3,OK,0,4
126,Participación de importaciones mineras por rubro,4d8592fc-0ced-4e58-8d6b-0e8548190c26,OK,0,2
127,Perforación de pozos de petróleo y gas,7ea2ac77-d7a0-4129-9fbf-6f1a25d94e21,ERROR,1,14
128,Plan de Acción e Inversiones a Ejecutar (Tablas Dinámicas),47c5b0c3-456d-4621-a166-1e3fa74643ba,ERROR,2,4
129,Plan gas,2291de42-90bc-478e-a75a-252e8992fb78,ERROR,1,6
130,Potencia Instalada (1976-2012),597cc7ae-6bb6-489d-bb8f-1f74631cd9f4,ERROR,2,1
131,Potencia Máxima del Sistema Eléctrico (1980-2013),6dd0bcd6-b339-408e-8a6e-e5021ed42f2d,ERROR,1,1
132,Pozos de Petróleo y Gas,4f43e690-4cac-4385-8a7a-89a163516dcc,OK,0,4
133,Pozos y Metros Perforados (Tablas Dinámicas),363d43a7-34cd-49e7-9878-61ef4f7b2654,OK,0,1
134,Precio Internacional (PI) del petróleo crudo (Res. MEyFP 1077/2014),e80b32fa-5abd-49b8-85cd-901c929ba29e,ERROR,1,1
135,Precios de Bioetanol,227cd0b0-2b36-4d4f-8a12-36c9c0ec4875,OK,0,3
136,Precios de Biodiesel,30fcb906-5374-4790-aa89-368c0d3ef314,OK,0,2
137,Precios de combustibles,f0d16ab4-b45d-4069-80ba-6fa0ffe40ecb,ERROR,1,11
138,Precios de Comercio Exterior,14a1ee5c-ab0c-42b5-b2cc-fbd4e9a9f7a6,OK,0,1
139,Precios de Venta al Mercado Interno de Petróleo Escalante,c8f6b6c5-1e2d-4d9f-b65d-01a6f9a231bc,OK,0,1
140,Precios EESS - Resolución 1104/04,708f9ab4-829b-4f02-b507-f303c5bc4800,ERROR,1,16
141,Precios en Surtidor - Resolución 314/2016,e095db78-a5df-451c-b966-971d0a6b7887,OK,0,2
142,Precios Promedio por Provincia de Combustibles líquidos en Estaciones de Servicio,830056c4-5ec5-436f-9746-da49ef532a71,ERROR,1,2
143,Principales productos exportados por rubro,6f15bd25-c036-47fd-88fc-84f53b4170d4,OK,0,3
144,Producción de combustibles,c1c73b3a-0811-4441-9b65-e461fdce52e8,ERROR,2,1
145,Producción de gas,3c15b2eb-3a0f-4651-907f-4387945aa1b3,ERROR,1,8
146,Producción de GLP,55b83784-8f04-4018-91c7-027163c615b3,ERROR,1,3
147,Producción de GLP por planta,31f5df04-0028-46f1-8e98-b15948e0f206,ERROR,1,2
148,Producción de petróleo,54e20b13-e946-4161-a5bc-b4497cbb6fe0,ERROR,1,13
149,Producción de Petróleo desde 1950,f91e3405-2bd0-47eb-81bd-5d73835ec005,OK,0,2
150,Producción de petróleo y gas,a1e9795c-5fe0-49e3-984d-85d50a3448e1,ERROR,1,4
151,Producción de petróleo y gas por pozo,c846e79c-026c-4040-897f-1ad3543b407c,ERROR,1,27
152,Producción de Petróleo y Gas (Tablas Dinámicas),590d1284-fd6d-4686-afd8-b3da5d90a6e9,OK,0,3
153,Producción Gas Natural desde 1950,5210866d-2caf-43fd-95d8-085dc18f39cc,OK,0,2
154,Producción Hidrocarburos Concesiones de Explotación,81cfad0a-4162-4f85-ad71-837f5a5fae57,OK,0,4
155,Producción Hidrocarburos Lotes de Explotación,dbed71cd-1f2b-461a-b05d-a1903bd0ef03,OK,0,4
156,Producción Hidrocarburos Productores de GLP,335210fc-64b6-4d75-8e31-211bf3291748,OK,0,4
157,Producción Hidrocarburos Puntos de Venteo Declarados,530bb019-32f4-4eaf-b550-1fc05f8b129f,ERROR,1,4
158,Producción Hidrocarburos Yacimientos,7378520e-4d10-48a9-92e9-7e20e69a8277,OK,0,4
159,Producción Hidrocarburos Yacimientos Según Profundidad Promedio,bd26f4e9-74cc-4444-ae6d-2dadcf491057,OK,0,4
160,Productos exentos al ITC,02365d33-c504-4e31-814c-bd5f4f1eec81,ERROR,1,9
161,Programa RENOVATE,a3f0afe3-00b4-4a9e-b759-c12b73db328c,OK,0,4
162,Pronóstico de producción de gas licuado,bae78d77-e8ff-466a-8c7d-2ac75d352d7b,ERROR,1,7
163,Pronóstico de producción de gas natural,42d08a0d-b6ea-42a2-912d-72cd034aea94,ERROR,1,4
164,Pronóstico de producción de petróleo,741882c4-4159-4a7c-89ad-92c41d98d680,ERROR,1,4
165,Pronósticos de Producción de Petróleo y Gas(Tablas Dinámicas),dbb36686-fb66-4364-bded-d55ff4de516c,ERROR,1,1
166,PRONUREE alumbrado público,0dacea79-16f5-4a55-bfb3-18c12e7746db,OK,0,2
167,PRONUREE alumbrado público en municipios,ff133f5c-14ca-4fb1-9b16-26eed5840f25,ERROR,1,2
168,Prospectiva Eléctrica,f14fa84f-cb50-405e-ad8d-d4eb73a02ee7,ERROR,4,6
169,Provincias IGN,6368bbfc-2b4d-422c-8490-08969a5e649e,OK,0,4
